date,user/page_name,description,media link,tags
2023-12-02,boutaynamlme,['بغا يدرحني و أنا بنت كارتيي بوبيلير 🚫 FILMED AND EDITED BY '],https://www.tiktok.com/@boutaynamlme/video/7308011169917291782,"['@Simo Leto', '#fyp', '#fypシ', '#fypage', '#marocaine🇲🇦', '#🇩🇿🇲🇦']"
2023-12-10,jalalelhouwari,[],https://www.tiktok.com/@jalalelhouwari/video/7310969878775696646,"['#جلال_الهواري', '#جلال_الهواري77', '#jalalelhowari', '#كرسيف❤🇲🇦', '#جرسيف77', '#fyp', '#اكسبلور', '#المغرب🇲🇦تونس🇹🇳الجزائر🇩🇿', '#تاوريرت_جرسيف_الحسيمة', '#maroc', '#تيك_توك', '#españa🇪🇸', '#foryoupage', '#tik_tok', '#fypシ', '#oujda', '#oujda_48_city', '#foryou', '#CapCut']"
2023-12-01,negafamaria,[],https://www.tiktok.com/@negafamaria/video/7307702828724800773,"['#negafamaria', '#caftanmarocain', '#caftan', '#عرس_مغربي', '#المغرب🇲🇦تونس🇹🇳الجزائر🇩🇿', '#الامارات_السعوديه_الكويت_البحرين_عمان', '#الاعراس_المغربية', '#العرس_المغربي', '#العرس_الملكي', '#explore']"
2023-11-13,tigrepoxy,[],https://www.tiktok.com/@tigrepoxy/video/7301085320424983813,"['#formation_general_resine', '#marocresine']"
2023-12-11,wiame.amine,[],https://www.tiktok.com/@wiame.amine/video/7311300366082133253,"['#ولدي_حبيبي', '#من_إنا_مدينة_تاتفرج❤️🍂', '#tiktokindai', '#fbyツforyou🤍🦋', '#folower', '#fouryoupage', '#maroco🇲🇦', '#italyale🇮🇹', '#algiria🇩🇿']"
2023-11-12,zoyo__1,[],https://www.tiktok.com/@zoyo__1/video/7300583878077549829,"['#zoyo_1', '#explore', '#maroco🇲🇦algeria🇩🇿tunisia🇹🇳', '#الشعب_الصيني_ماله_حل😂😂']"
2023-11-29,moro_ccoooo,['تلميذة توجه رسالة قوية لجلالة الملك '],https://www.tiktok.com/@moro_ccoooo/video/7306961798878498054,"['#fouryoupage', '#foryou', '#المغرب🇲🇦تونس🇹🇳الجزائر🇩🇿', '#morocco', '#fypシ', '#fyp', '#بوعيدة_عبدالرحيم', '#معتوق_جمال', '#التعليم']"
2023-12-10,asmaakerdad,['ماتبغيهاش لعدوك 😂😂😂 '],https://www.tiktok.com/@asmaakerdad/video/7310961706031729926,"['@Mohssin Hamuod(الشمالي)', '#marocaine🇲🇦tiktok_اكسبلور🌏✨♥️♥️', '#asmaakerdad', '#asmaa_kerdad', '#اكسبلور', '#marocaine🇲🇦', '#تمثيل_كوميدي']"
2023-11-24,livemaroc70,[],https://www.tiktok.com/@livemaroc70/video/7305003643261013254,"['#foryou', '#marocaine', '#fyp', '#الشعب_الصيني_ماله_حل😂😂', '#viralvideo', '#foryoupage', '#marocaine🇲🇦']"
2023-11-13,nnnahah3,[],https://www.tiktok.com/@nnnahah3/video/7300737629920759045,"['#maroco🇲🇦algeria🇩🇿tunisia🇹🇳', '#marocaine🇲🇦', '#الشعب_الصيني_ماله_حل😂😂', '#المغرب🇲🇦تونس🇹🇳الجزائر🇩🇿', '#algerie', '#elgrandetoto', '#toto', '#elgrandetoto🇲🇦', '#dellalli11', '#elgrandetototeam']"
